GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS248703055	2017-02-06 10:09:06	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698874	2018-08-06 16:05:10	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				2	NE	C4	NE		United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698875	2018-08-06 16:05:10	33018	species	avibase-7AB1229B	Chestnut-sided Warbler	Setophaga pensylvanica				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698872	2018-08-06 16:05:10	16665	species	avibase-8D6D5F2B	Great Crested Flycatcher	Myiarchus crinitus				4					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698878	2018-08-06 16:05:10	32949	species	avibase-15EB3000	Hooded Warbler	Setophaga citrina				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703056	2017-02-06 10:09:06	32949	species	avibase-15EB3000	Hooded Warbler	Setophaga citrina				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703052	2017-02-06 10:09:06	7709	species	avibase-ACFC8EB6	Mississippi Kite	Ictinia mississippiensis				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703050	2017-02-06 10:09:06	2369	species	avibase-00124D98	Mourning Dove	Zenaida macroura				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698880	2018-08-06 16:05:10	33382	species	avibase-4E74AE22	Northern Cardinal	Cardinalis cardinalis				3					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703048	2017-02-06 10:09:06	33382	species	avibase-4E74AE22	Northern Cardinal	Cardinalis cardinalis				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698876	2018-08-06 16:05:10	32955	species	avibase-41062654	Northern Parula	Setophaga americana				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703057	2017-02-06 10:09:06	32955	species	avibase-41062654	Northern Parula	Setophaga americana				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698873	2018-08-06 16:05:10	32843	species	avibase-CEA5B6AA	Ovenbird	Seiurus aurocapilla				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698886	2018-08-06 16:05:10	33034	species	avibase-6283E61E	Pine Warbler	Setophaga pinus				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698879	2018-08-06 16:05:10	10707	species	avibase-078557F2	Red-bellied Woodpecker	Melanerpes carolinus				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698883	2018-08-06 16:05:10	18533	species	avibase-847717E2	Red-eyed Vireo	Vireo olivaceus				6					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703045	2017-02-06 10:09:06	10654	species	avibase-448D91B7	Red-headed Woodpecker	Melanerpes erythrocephalus				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703047	2017-02-06 10:09:06	33300	species	avibase-891798D9	Summer Tanager	Piranga rubra				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698877	2018-08-06 16:05:10	21352	species	avibase-B488AB70	Tufted Titmouse	Baeolophus bicolor				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703053	2017-02-06 10:09:06	21352	species	avibase-B488AB70	Tufted Titmouse	Baeolophus bicolor				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703043	2017-02-06 10:09:06	7416	species	avibase-36B3872D	Turkey Vulture	Cathartes aura				4					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248698882	2018-08-06 16:05:10	33049	species	avibase-136451CF	Yellow-throated Warbler	Setophaga dominica				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Broadhead Memorial Park	L2810675	P	31.9875423	-88.3319114	2014-04-26	12:56:00	obsr172983	S18105716	Traveling	P22	EBIRD	45	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS248703051	2017-02-06 10:09:06	33049	species	avibase-136451CF	Yellow-throated Warbler	Setophaga dominica				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27			Bladon Springs SP	L919298	H	31.7343243	-88.1967198	2014-04-26	14:39:00	obsr172983	S18105945	Traveling	P22	EBIRD	44	0.805		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609566	2017-02-06 10:09:06	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609574	2017-02-06 10:09:06	23291	species	avibase-58C502EA	Barn Swallow	Hirundo rustica				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609561	2017-02-06 10:09:06	7412	species	avibase-4FF7DE80	Black Vulture	Coragyps atratus				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609577	2017-02-06 10:09:06	20496	species	avibase-1DA430B8	Blue Jay	Cyanocitta cristata				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609571	2017-02-06 10:09:06	7247	species	avibase-6CCDAC53	Cattle Egret	Bubulcus ibis				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609567	2017-02-06 10:09:06	3788	species	avibase-C3AD1AFF	Chimney Swift	Chaetura pelagica				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609562	2017-02-06 10:09:06	2206	species	avibase-F9AED548	Common Ground Dove	Columbina passerina				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609565	2017-02-06 10:09:06	32752	species	avibase-8BBB3255	Common Grackle	Quiscalus quiscula				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609578	2017-02-06 10:09:06	33493	species	avibase-592E58CE	Dickcissel	Spiza americana				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609564	2017-02-06 10:09:06	16800	species	avibase-082D833C	Eastern Kingbird	Tyrannus tyrannus				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609575	2017-02-06 10:09:06	7200	species	avibase-49D9148A	Great Egret	Ardea alba				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609572	2017-02-06 10:09:06	33474	species	avibase-043F337A	Indigo Bunting	Passerina cyanea				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609569	2017-02-06 10:09:06	2369	species	avibase-00124D98	Mourning Dove	Zenaida macroura				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609563	2017-02-06 10:09:06	33382	species	avibase-4E74AE22	Northern Cardinal	Cardinalis cardinalis				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609576	2017-02-06 10:09:06	27176	species	avibase-7EFF698D	Northern Mockingbird	Mimus polyglottos				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609570	2017-02-06 10:09:06	7429	species	avibase-1327AC55	Osprey	Pandion haliaetus				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609573	2017-02-06 10:09:06	11237	species	avibase-00635FF9	Pileated Woodpecker	Dryocopus pileatus				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS326609568	2017-02-06 10:09:06	23187	species	avibase-ACB9D1C6	Purple Martin	Progne subis				X					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-06-12	14:00:00	obsr339724	S23889598	Traveling	P22	EBIRD	60	16.093		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS351322876	2021-03-17 23:29:17.720747	20762	species	avibase-9E9F2476	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-11-02	08:45:00	obsr236938	S25678623	Traveling	P22	EBIRD	60	3.219		1	1		0	1	0		Drove along road and then walked 3/4 mile behind gate		
URN:CornellLabOfOrnithology:EBIRD:OBS351322875	2021-03-17 23:29:17.720747	20496	species	avibase-1DA430B8	Blue Jay	Cyanocitta cristata				6					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-11-02	08:45:00	obsr236938	S25678623	Traveling	P22	EBIRD	60	3.219		1	1		0	1	0		Drove along road and then walked 3/4 mile behind gate		
URN:CornellLabOfOrnithology:EBIRD:OBS351322890	2021-03-17 23:29:17.720747	26211	species	avibase-A15C5071	Blue-gray Gnatcatcher	Polioptila caerulea				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-11-02	08:45:00	obsr236938	S25678623	Traveling	P22	EBIRD	60	3.219		1	1		0	1	0		Drove along road and then walked 3/4 mile behind gate		
URN:CornellLabOfOrnithology:EBIRD:OBS351322880	2021-03-17 23:29:17.720747	21254	species	avibase-F941AAD3	Carolina Chickadee	Poecile carolinensis				3					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-11-02	08:45:00	obsr236938	S25678623	Traveling	P22	EBIRD	60	3.219		1	1		0	1	0		Drove along road and then walked 3/4 mile behind gate		
URN:CornellLabOfOrnithology:EBIRD:OBS351322873	2021-03-17 23:29:17.720747	26438	species	avibase-CB5469E1	Carolina Wren	Thryothorus ludovicianus				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-11-02	08:45:00	obsr236938	S25678623	Traveling	P22	EBIRD	60	3.219		1	1		0	1	0		Drove along road and then walked 3/4 mile behind gate		
URN:CornellLabOfOrnithology:EBIRD:OBS351322879	2021-03-17 23:29:17.720747	10892	species	avibase-1B2A6386	Downy Woodpecker	Dryobates pubescens				1					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-11-02	08:45:00	obsr236938	S25678623	Traveling	P22	EBIRD	60	3.219		1	1		0	1	0		Drove along road and then walked 3/4 mile behind gate		
URN:CornellLabOfOrnithology:EBIRD:OBS351322878	2021-03-17 23:29:17.720747	27185	species	avibase-A8347C7D	Eastern Bluebird	Sialia sialis				3					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-11-02	08:45:00	obsr236938	S25678623	Traveling	P22	EBIRD	60	3.219		1	1		0	1	0		Drove along road and then walked 3/4 mile behind gate		
URN:CornellLabOfOrnithology:EBIRD:OBS351322892	2021-03-17 23:29:17.720747	16339	species	avibase-62CA2AF8	Eastern Phoebe	Sayornis phoebe				2					United States	US	Alabama	US-AL	Choctaw	US-AL-023		27	USFWS_120		Choctaw NWR	L919297	H	31.8212363	-88.1835222	2015-11-02	08:45:00	obsr236938	S25678623	Traveling	P22	EBIRD	60	3.219		1	1		0	1	0		Drove along road and then walked 3/4 mile behind gate		
